id,ename,dept,email,salary,age
1,goutham,1010,gtm@abc.com,10000,29
2,vishnupriya,1011,vis@abc.com,11000,29
3,arun,1010,arun@abc.com,9000,29
4,ram,1012,ram@abc.com,9500,29
41,goutham,1010,gtm@abc.com,10000,29
42,vishnupriya,1011,vis@abc.com,11000,29
43,arun,1010,arun@abc.com,9000,29
44,ram,1012,ram@abc.com,9500,29
21,goutham,1010,gtm@abc.com,10000,29
22,vishnupriya,1011,vis@abc.com,11000,29
23,arun,1010,arun@abc.com,9000,29
24,ram,1012,ram@abc.com,9500,29
31,goutham,1010,gtm@abc.com,10000,29
32,vishnupriya,1011,vis@abc.com,11000,29
33,arun,1010,arun@abc.com,9000,29
34,ram,1012,ram@abc.com,9500,29
51,goutham,1010,gtm@abc.com,10000,29
52,vishnupriya,1011,vis@abc.com,11000,29
53,arun,1010,arun@abc.com,9000,29
54,ram,1012,ram@abc.com,9500,29
61,goutham,1010,gtm@abc.com,10000,29
62,vishnupriya,1011,vis@abc.com,11000,29
63,arun,1010,arun@abc.com,9000,29
64,ram,1012,ram@abc.com,9500,29
71,goutham,1010,gtm@abc.com,10000,29
72,vishnupriya,1011,vis@abc.com,11000,29
73,arun,1010,arun@abc.com,9000,29
74,ram,1012,ram@abc.com,9500,29
81,goutham,1010,gtm@abc.com,10000,29
82,vishnupriya,1011,vis@abc.com,11000,29
83,arun,1010,arun@abc.com,9000,29
84,ram,1012,ram@abc.com,9500,29
91,goutham,1010,gtm@abc.com,10000,29
92,vishnupriya,1011,vis@abc.com,11000,29
93,arun,1010,arun@abc.com,9000,29
94,ram,1012,ram@abc.com,9500,29
101,goutham,1010,gtm@abc.com,10000,29
102,vishnupriya,1011,vis@abc.com,11000,29
103,arun,1010,arun@abc.com,9000,29
104,ram,1012,ram@abc.com,9500,29
111,goutham,1010,gtm@abc.com,10000,29
112,vishnupriya,1011,vis@abc.com,11000,29
113,arun,1010,arun@abc.com,9000,29
114,ram,1012,ram@abc.com,9500,29
121,goutham,1010,gtm@abc.com,10000,29
122,vishnupriya,1011,vis@abc.com,11000,29
123,arun,1010,arun@abc.com,9000,29
124,ram,1012,ram@abc.com,9500,29
131,goutham,1010,gtm@abc.com,10000,29
132,vishnupriya,1011,vis@abc.com,11000,29
133,arun,1010,arun@abc.com,9000,29
134,ram,1012,ram@abc.com,9500,29
